"コード","条件付加1"
"00","勝入"
"01","九州産馬"
"02","内国"
"03","牝"
"04","(混)"
"05","(父)"
"06","(抽)"
"07","(市)(抽)"
"08","(混勝入)"
"09","[抽]"
"10","(混牝)"
"11","(市)"
"12","(招)"
"13","(混)(指)"
"14","(抽勝入)"
"15","(抽)関西配布馬"
"16","(抽)関東配布馬"
"17","[抽]関西配布馬"
"18","[抽]関東配布馬"
"19","(市)(抽)関西配布馬"
"20","(市)(抽)関東配布馬"
"21","(指)"
"22","芦毛"
"23","栗毛"
"24","牡"
"25","交流"
"26","千葉産"
"27","(混牡せん馬)"
"28","牡せん馬"
"29","国際"
"30","(指定)"
"31","(特指)"
"32","[指定]"
"33","牡・牝"
"34","JRA認定"
"35","牝馬(国際)"
"36","芦・白"
"37","黒鹿毛"
"38","(混牡・牝)"
"39","JRA指定"
"40","(国際牡・牝)"
