"コード"","産地"
"000","北檜山"
"001","えりも"
"002","様似"
"003","浦河"
"004","三石"
"005","静内"
"006","新冠"
"007","門別"
"008","平取"
"009","鵡川"
"010","早来"
"011","白老"
"012","室蘭"
"013","伊達"
"014","虻田"
"015","幕別"
"016","厚真"
"017","網走"
"018","池田"
"019","有珠"
"020","浦幌"
"021","恵庭"
"022","江別"
"023","追別"
"024","長万部"
"025","音更"
"026","音別"
"027","帯広"
"028","河西"
"029","釧路"
"030","栗山"
"031","小清水"
"032","札幌"
"033","鹿追"
"034","清水"
"035","標茶"
"036","白糠"
"037","新得"
"038","大樹"
"039","鷹栖"
"040","千歳"
"041","忠類"
"042","士幌"
"043","弟子屈"
"044","苫小牧"
"045","豊浦"
"046","豊頃"
"047","根室"
"048","登別"
"049","函館"
"050","浜中"
"051","広尾"
"052","深川"
"053","穂別"
"054","本別"
"055","森"
"056","八雲"
"057","青森"
"058","岩手"
"059","宮城"
"060","山形"
"061","福島"
"062","栃木"
"063","群馬"
"064","埼玉"
"065","茨城"
"066","千葉"
"067","長野"
"068","京都"
"069","高知"
"070","宮崎"
"071","鹿児島"
"072","熊本"
"073","米国"
"074","英国"
"075","愛国"
"076","仏国"
"077","伊国"
"078","独国"
"079","カナダ"
"080","新国"
"081","豪州"
"082","洞爺"
"083","七飯"
"084","上ノ国"
"085","亜国"
"086","白国"
"087","瑞国"
"088","壮瞥"
"089","砂原"
"090","足寄"
"091","別海"
"092","東京"
"093","神奈川"
"094","兵庫"
"095","佐賀"
"096","日高"
"097","南郷"
"098","更別"
"099","チリ"
"100","遠別"
"101","芽室"
"102","中標津"
"103","山梨"
"104","伯国"
"105","今金"
"106","厚岸"
"107","東久留"
"108","標津"
"109","大分"
"110","静岡"
"111","由仁"
"112","木古内"
"113","幌泉"
"114","比国"
"115","星国"
"116","ＵＡＥ"
"117","広島"
"118","南ア国"
"119","むかわ"
"120","安平"
"121","新ひだか"
"122","洞爺湖"
"123","露国"
"200","アルジ"
"201","墺国"
"202","バルバ"
"203","ブルガ"
"204","コロン"
"205","キュー"
"206","キプロ"
"207","チェコ"
"208","丁国  "
"209","東独国"
"210","エクア"
"211","埃国"
"212","希国"
"213","蘭国"
"214","香港"
"215","洪国"
"216","印度"
"217","インド"
"218","イラン"
"219","イスラ"
"220","ジャマ"
"221","日本"
"222","ケニア"
"223","レバノ"
"224","リベア"
"225","ルクセ"
"226","マレー"
"227","マルタ"
"229","モーリ"
"230","メキシ"
"231","モロコ"
"232","ノルウ"
"233","パキス"
"234","パナマ"
"235","秘国"
"236","比国"
"237","波国"
"238","葡国"
"239","プエル"
"240","羅国"
"241","シンガ"
"242","南阿国"
"243","ソ連"
"244","西国"
"245","スリラ"
"246","スーダ"
"247","スイス"
"248","トリニ"
"249","チュニ"
"250","土国"
"251","ウルグ"
"252","ペネズ"
"253","ユーゴ"
"254","ジンバ"
"255","ロシア"
"256","シリア"
"257","沙国"
"258","韓国"
"259","中国"
