"コード","場所短縮"
"00","京"
"01","阪"
"02","名"
"03","小"
"04","東"
"05","中"
"06","福"
"07","新"
"08","札"
"09","函"
"10","(大)"
"11","(川)"
"12","(船)"
"13","(浦)"
"14","(岩)"
"15","(旭)"
"16","(帯)"
"17","(野)"
"18","(北)"
"19","(笠)"
"20","(金)"
"21","(荒)"
"22","(宇)"
"23","(佐)"
"24","(中)"
"25","(高)"
"26","(高)"
"27","(足)"
"28","(上)"
"29","(水)"
"30","(三)"
"31","(紀)"
"32","(益)"
"33","(盛)"
"34","(名)"
"35","(札)"
"36","(函)"
"37","(園)"
"38","(福)"
"39","(姫)"
"40","(中)"
"41","(新)"
"42","(門)"
"43","(弥)"
"44","(小)"
"45","(西)"
"46","(境)"
"47","(小)"
"50","(栗)"
"51","(美)"
"52","(美)"
"53","(白)"
"54","(道)"
"55","(岩)"
"56","(岩)"
"57","(旭)"
"58","(帯)"
"59","(北)"
"60","(香)"
"61","(米)"
"62","(英)"
"63","(仏)"
"64","(愛)"
"65","(Ｕ)"
"66","(加)"
"67","(伊)"
"68","(独)"
"69","(豪)"
"70","(西)"
"71","(新)"
"72","(チ)"
"73","(亜)"
"74","(伯)"
"75","(新)"
"76","(瑞)"
"77","(班)"
"78","(瑞)"
"79","(耳)"
"90","(兵)"
"91","(栃)"
"99","(北)"
